asset_id,title,description,keywords,library,category,subcategory,dimensions,status,upload_by,upload_date,last_updated_by,last_update_date,admin_notes,bit_rate,dload_file_type,dload_resolution,dload_size
4771,QC_CES_SummaryDeck.pdf,Qualcomm Summary Deck - CES 2016,"Qualcomm, Summary, Deck, CES, 2016",Showcase,CES 2016,,,,Elysia,1/4/2016,Elysia,1/4/2016,,,PDF,150 dpi,15.4mb
2447,482436_10151533610822292_2080885403_n_2447.jpg,MWC 2013 trade show exhibit,,Showcase,Trade shows,MWC 2013,,,qualcomm test,6/9/2013,qualcomm test,6/9/2013,,,JPEG,72 dpi,99kb
2448,553163_10151533610327292_1609285543_n_2448.jpg,MWC 2013 trade show exhibit,,Showcase,Trade shows,MWC 2013,,,qualcomm test,6/9/2013,qualcomm test,6/9/2013,,,JPEG,72 dpi,128kb
2449,558062_10151538983637292_2000339531_n_2449.jpg,MWC 2013 trade show exhibit,,Showcase,Trade shows,MWC 2013,,,qualcomm test,6/9/2013,qualcomm test,6/9/2013,,,JPEG,72 dpi,86kb
2450,577335_10151533610357292_733405368_n_2450.jpg,MWC 2013 trade show exhibit,,Showcase,Trade shows,MWC 2013,,,qualcomm test,6/9/2013,qualcomm test,6/9/2013,,,JPEG,72 dpi,117kb
2446,67065_10151533610797292_600418031_n_2446.jpg,MWC 2013 trade show exhibit,,Showcase,Trade shows,MWC 2013,,,qualcomm test,6/9/2013,qualcomm test,6/9/2013,,,JPEG,72 dpi,116kb
2451,735009_10151533610652292_465890254_n_2451.jpg,MWC 2013 trade show exhibit,,Showcase,Trade shows,MWC 2013,,,qualcomm test,6/9/2013,qualcomm test,6/9/2013,,,JPEG,72 dpi,136kb
2465,Animated Qualcomm logo sequence,Animated Qualcomm logo sequence,,Showcase,Motion graphics,,,,qualcomm test,6/10/2013,Super Admin,9/25/2014,,-79228162514264337593543.95 Mbit/s,MOV,N/A,10.4mb
2459,CES born mobile signage,Born mobile signage - portrait shot,,Showcase,Event signage,,,,qualcomm test,6/10/2013,qualcomm test,6/10/2013,,,JPEG,72 dpi,324kb
2460,CES born mobile signage,Born mobile signage - anechoic chamber,,Showcase,Event signage,,,,qualcomm test,6/10/2013,qualcomm test,6/10/2013,,,JPEG,72 dpi,784kb
2461,CES born mobile signage,Born mobile signage - test lab,,Showcase,Event signage,,,,qualcomm test,6/10/2013,qualcomm test,6/10/2013,,,JPEG,72 dpi,849kb
2452,CES Posters at trade show area,Concept for posters at the back of trade show booth,,Showcase,Event signage,,,,qualcomm test,6/9/2013,qualcomm test,6/10/2013,,,PDF,150 dpi,127kb
2466,CES title animated sequences,Animated sequences of diagrams during the CES keynote,,Showcase,Motion graphics,,,,qualcomm test,6/10/2013,qualcomm test,6/10/2013,,-79228162514264337593543.95 Mbit/s,MOV,N/A,40.8mb
2474,Ecosystem Animation Reel,,,Showcase,Motion graphics,,,,Super Admin,6/11/2013,Super Admin,6/11/2013,,-79228162514264337593543.95 Mbit/s,MOV,N/A,24.9mb
2458,MEA events pull-up banners,Qualcomm pull-up banners used for MEA events,,Showcase,Event signage,,,,qualcomm test,6/10/2013,qualcomm test,6/10/2013,,,PDF,150 dpi,1.8mb
2462,QC Adpack - ad for recruiting,QC Adpack - ad for recruiting,,Showcase,Advertising,,,,qualcomm test,6/10/2013,qualcomm test,6/10/2013,,,PDF,150 dpi,2.3mb
2464,QC Seasame Gala Ad,QC Seasame Gala Ad,,Showcase,Advertising,,,,qualcomm test,6/10/2013,qualcomm test,6/10/2013,,,PDF,150 dpi,2.7mb
4771,QC_CES_SummaryDeck.pdf,Qualcomm Summary Deck - CES 2016,"Qualcomm, Summary, Deck, CES, 2016",Showcase,CES 2016,,,,Elysia,1/4/2016,Elysia,1/4/2016,,,PDF,150 dpi,15.4mb
2467,Qualcomm Born Mobile animation,Debuted at CES,,Showcase,Motion graphics,,,,qualcomm test,6/10/2013,qualcomm test,6/10/2013,,-79228162514264337593543.95 Mbit/s,MOV,N/A,57.7mb
2476,Qualcomm Born Mobile Gaming Promotion,Qualcomm Born Mobile - Mobile Gaming promotion featured on Facebook.,,Showcase,Social media,Infographics,,,Christopher Dillman,6/14/2013,Christopher Dillman,6/14/2013,,,PNG,72 dpi,47kb
2454,Qualcomm CES Posters,Posters used at the customer event party,,Showcase,Event signage,,,,qualcomm test,6/9/2013,qualcomm test,6/10/2013,,,PDF,150 dpi,1.1mb
2463,Qualcomm Developer Network ad,Qualcomm Developer Network ad,,Showcase,Advertising,,,,qualcomm test,6/10/2013,qualcomm test,6/10/2013,,,PDF,150 dpi,13.5mb
2436,Qualcomm Exhibit,"Qualcomm Exhibit CES 2013, Las Vegas Freeman Companies Padgett and Company Job#3637",,Showcase,Trade shows,CES 2013,,,qualcomm test,6/9/2013,qualcomm test,6/9/2013,,,JPEG,300 dpi,1mb
2437,Qualcomm Exhibit,"Qualcomm Exhibit CES 2013, Las Vegas Freeman Companies Padgett and Company Job#3637",,Showcase,Trade shows,CES 2013,,,qualcomm test,6/9/2013,qualcomm test,6/9/2013,,,JPEG,300 dpi,1mb
2438,Qualcomm Exhibit,"Qualcomm Exhibit CES 2013, Las Vegas Freeman Companies Padgett and Company Job#3637",,Showcase,Trade shows,CES 2013,,,qualcomm test,6/9/2013,qualcomm test,6/9/2013,,,JPEG,300 dpi,1mb
2439,Qualcomm Exhibit,"Qualcomm Exhibit CES 2013, Las Vegas Freeman Companies Padgett and Company Job#3637",,Showcase,Trade shows,CES 2013,,,qualcomm test,6/9/2013,qualcomm test,6/9/2013,,,JPEG,300 dpi,956kb
2440,Qualcomm Exhibit,"Qualcomm Exhibit CES 2013, Las Vegas Freeman Companies Padgett and Company Job#3637",,Showcase,Trade shows,CES 2013,,,qualcomm test,6/9/2013,qualcomm test,6/9/2013,,,JPEG,300 dpi,1.1mb
2441,Qualcomm Exhibit,"Qualcomm Exhibit CES 2013, Las Vegas Freeman Companies Padgett and Company Job#3637",,Showcase,Trade shows,CES 2013,,,qualcomm test,6/9/2013,qualcomm test,6/9/2013,,,JPEG,300 dpi,1.1mb
2442,Qualcomm Exhibit,"Qualcomm Exhibit CES 2013, Las Vegas Freeman Companies Padgett and Company Job#3637",,Showcase,Trade shows,CES 2013,,,qualcomm test,6/9/2013,qualcomm test,6/9/2013,,,JPEG,300 dpi,1mb
2443,Qualcomm Exhibit,"Qualcomm Exhibit CES 2013, Las Vegas Freeman Companies Padgett and Company Job#3637",,Showcase,Trade shows,CES 2013,,,qualcomm test,6/9/2013,qualcomm test,6/9/2013,,,JPEG,300 dpi,951kb
2444,Qualcomm Exhibit,"Qualcomm Exhibit CES 2013, Las Vegas Freeman Companies Padgett and Company Job#3637",,Showcase,Trade shows,CES 2013,,,qualcomm test,6/9/2013,qualcomm test,6/9/2013,,,JPEG,300 dpi,883kb
2445,Qualcomm Exhibit,"Qualcomm Exhibit CES 2013, Las Vegas Freeman Companies Padgett and Company Job#3637",,Showcase,Trade shows,CES 2013,,,qualcomm test,6/9/2013,qualcomm test,6/9/2013,,,JPEG,300 dpi,919kb
2477,Qualcomm Milestones,Qualcomm milestones infographic featured on Facebook.,,Showcase,Social media,Infographics,,,Christopher Dillman,6/14/2013,Christopher Dillman,6/14/2013,,,JPEG,150 dpi,349kb
2478,Qualcomm Milestones,Qualcomm milestones infographic - interactive example of timeline.,,Showcase,Social media,Infographics,,,Christopher Dillman,6/14/2013,Christopher Dillman,6/14/2013,,,JPEG,150 dpi,337kb
